"house_id","listing","property_type","city","zone","area","latitude","longitude","plot_area","built_up_area","bedrooms","balconies","bathrooms","total_floors","X1bhk","X2bhk","X3bhk","parking","price","availability","transaction_type","on_loan","negotiable","water_source","site_facing","door_facing","flooring_type","furnishing","year_of_construction","score_neighborhood"
1,"sell","apartment","bangalore","South Bangalore","electronic_city",12.84930525,77.68780134,1000,924,"2","2","1","NA","NA","NA","NA","covered",4536000,"ready_to_move","resale","yes","yes","bore_well","west","north","vitrified_tiles","semi",2013,2.857142857
2,"sell","apartment","bangalore","South Bangalore","electronic_city",12.86345527,77.69188146,1100,1042,"2","2","1","NA","NA","NA","NA","covered",5115272.727,"ready_to_move","new","no","yes","both","north","west","vitrified_tiles","semi",2008,0
3,"sell","apartment","bangalore","South Bangalore","electronic_city",12.83656231,77.69045823,1800,1749,"3","1","2","NA","NA","NA","NA","covered",8586000,"ready_to_move","resale","yes","yes","both","west","west","vitrified_tiles","semi",2014,5
4,"sell","apartment","bangalore","South Bangalore","electronic_city",12.8279755,77.65959991,1800,1742,"3","1","2","NA","NA","NA","NA","open",8551636.364,"ready_to_move","resale","yes","yes","both","west","south","vitrified_tiles","semi",2015,0.714285714
5,"sell","apartment","bangalore","South Bangalore","electronic_city",12.80708,77.68092202,500,420,"1","1","1","NA","NA","NA","NA","covered",2061818.182,"ready_to_move","resale","yes","yes","both","east","south","vitrified_tiles","semi",2008,0.714285714
6,"sell","apartment","bangalore","South Bangalore","electronic_city",12.85201053,77.68337516,1500,1448,"3","1","2","NA","NA","NA","NA","covered",7108363.636,"ready_to_move","resale","yes","yes","both","north","east","marble","semi",2014,1.428571429
7,"sell","apartment","bangalore","South Bangalore","electronic_city",12.86903369,77.66109536,1200,1124,"2","2","1","NA","NA","NA","NA","covered",5517818.182,"ready_to_move","resale","yes","yes","both","east","west","vitrified_tiles","semi",2008,5.714285714
8,"sell","independent_house","bangalore","South Bangalore","electronic_city",12.81092876,77.68963807,1200,3000,"NA","NA","NA","3","1","2","0","open",11250000,"ready_to_move","new","yes","yes","both","east","north","vitrified_tiles","semi",2008,1.428571429
9,"sell","independent_house","bangalore","South Bangalore","electronic_city",12.85074579,77.69096701,1000,1000,"NA","NA","NA","1","0","1","0","covered",3750000,"ready_to_move","resale","yes","yes","both","south","east","vitrified_tiles","semi",2011,0
10,"sell","independent_house","bangalore","South Bangalore","electronic_city",12.82176137,77.65786114,1000,3000,"NA","NA","NA","3","1","1","1","covered",11250000,"ready_to_move","resale","no","yes","both","north","north","vitrified_tiles","semi",2009,3.571428571
11,"sell","independent_house","bangalore","South Bangalore","electronic_city",12.85691813,77.65641707,1000,2500,"NA","NA","NA","3","1","2","0","covered",9375000,"ready_to_move","resale","yes","yes","both","north","south","vitrified_tiles","semi",2008,1.428571429
12,"sell","independent_house","bangalore","South Bangalore","electronic_city",12.82967695,77.65709274,1000,1500,"NA","NA","NA","2","1","1","0","open",5625000,"ready_to_move","resale","yes","yes","both","west","east","vitrified_tiles","semi",2007,1.428571429
13,"sell","apartment","bangalore","South Bangalore","jayanagar",12.93014496,77.58736014,1650,1585,"3","1","2","NA","NA","NA","NA","covered",11239090.91,"ready_to_move","resale","yes","yes","both","west","east","vitrified_tiles","semi",2008,10
14,"sell","apartment","bangalore","South Bangalore","jayanagar",12.94449101,77.58491937,1000,948,"2","2","1","NA","NA","NA","NA","covered",6722181.818,"ready_to_move","new","no","yes","both","east","east","marble","semi",2010,5.714285714
15,"sell","apartment","bangalore","South Bangalore","jayanagar",12.91854696,77.5869435,600,549,"1","1","1","NA","NA","NA","NA","covered",3892909.091,"ready_to_move","resale","yes","yes","both","west","north","vitrified_tiles","semi",2011,8.571428571
16,"sell","apartment","bangalore","South Bangalore","jayanagar",12.93401945,77.585121,1000,923,"2","2","1","NA","NA","NA","NA","covered",6544909.091,"ready_to_move","resale","yes","yes","both","north","south","marble","semi",2008,10
17,"sell","apartment","bangalore","South Bangalore","jayanagar",12.93260937,77.58487121,1100,1021,"2","2","1","NA","NA","NA","NA","open",7239818.182,"ready_to_move","resale","yes","yes","both","south","south","vitrified_tiles","semi",2015,10
18,"sell","apartment","bangalore","South Bangalore","jayanagar",12.93690181,77.58717951,1000,950,"2","2","1","NA","NA","NA","NA","open",6736363.636,"ready_to_move","resale","yes","yes","both","east","west","vitrified_tiles","semi",2008,7.857142857
19,"sell","independent_house","bangalore","South Bangalore","jayanagar",12.93294674,77.58498172,600,1200,"NA","NA","NA","2","2","0","0","covered",6500000,"ready_to_move","resale","no","yes","both","north","north","vitrified_tiles","semi",2013,10
20,"sell","independent_house","bangalore","South Bangalore","jayanagar",12.91895147,77.58422024,550,550,"NA","NA","NA","1","1","0","0","covered",2979166.667,"ready_to_move","resale","yes","yes","both","east","north","marble","semi",2007,10
21,"sell","independent_house","bangalore","South Bangalore","jayanagar",12.91539514,77.58581473,1000,3000,"NA","NA","NA","3","1","1","1","covered",16250000,"ready_to_move","new","yes","yes","both","south","north","vitrified_tiles","semi",2007,8.571428571
22,"sell","independent_house","bangalore","South Bangalore","jayanagar",12.91700166,77.58689475,1000,1500,"NA","NA","NA","2","1","1","0","covered",8125000,"ready_to_move","resale","yes","yes","both","west","south","vitrified_tiles","semi",2007,8.571428571
23,"sell","independent_house","bangalore","South Bangalore","jayanagar",12.92526972,77.58464737,1100,3300,"NA","NA","NA","3","1","1","1","open",17875000,"ready_to_move","resale","yes","yes","both","west","west","marble","semi",2014,10
24,"sell","independent_house","bangalore","South Bangalore","jayanagar",12.93117422,77.58409029,550,550,"NA","NA","NA","1","1","0","0","covered",2979166.667,"ready_to_move","resale","yes","yes","both","west","south","vitrified_tiles","semi",2013,10
25,"sell","apartment","bangalore","South Bangalore","indiranagar",12.97365465,77.64379722,1000,939,"2","2","1","NA","NA","NA","NA","covered",6146181.818,"ready_to_move","resale","no","yes","both","east","south","vitrified_tiles","semi",2012,7.857142857
26,"sell","apartment","bangalore","South Bangalore","indiranagar",12.97258735,77.6297372,1500,1435,"3","1","2","NA","NA","NA","NA","covered",9392727.273,"ready_to_move","new","yes","yes","both","north","west","vitrified_tiles","semi",2010,8.571428571
27,"sell","apartment","bangalore","South Bangalore","indiranagar",12.9721252,77.63757834,1200,1148,"2","2","1","NA","NA","NA","NA","covered",7514181.818,"ready_to_move","resale","no","yes","both","east","south","vitrified_tiles","semi",2014,8.571428571
28,"sell","apartment","bangalore","South Bangalore","indiranagar",12.97853393,77.63172115,1800,1739,"3","1","2","NA","NA","NA","NA","open",11382545.45,"ready_to_move","resale","yes","yes","both","west","west","vitrified_tiles","semi",2015,8.571428571
29,"sell","apartment","bangalore","South Bangalore","indiranagar",12.96820261,77.64117689,1000,950,"2","2","1","NA","NA","NA","NA","covered",6218181.818,"ready_to_move","resale","yes","yes","both","west","west","marble","semi",2012,7.142857143
30,"sell","apartment","bangalore","South Bangalore","indiranagar",12.96325225,77.64073831,600,548,"1","1","1","NA","NA","NA","NA","covered",3586909.091,"ready_to_move","new","yes","yes","both","west","east","vitrified_tiles","semi",2012,10
31,"sell","independent_house","bangalore","South Bangalore","indiranagar",12.97802313,77.63038331,1200,1800,"NA","NA","NA","2","1","1","0","covered",9e+06,"ready_to_move","resale","yes","yes","both","west","east","vitrified_tiles","semi",2008,8.571428571
32,"sell","independent_house","bangalore","South Bangalore","indiranagar",12.97792169,77.64238818,1000,2500,"NA","NA","NA","3","1","2","0","covered",12500000,"ready_to_move","resale","yes","yes","both","east","east","vitrified_tiles","semi",2012,8.571428571
33,"sell","independent_house","bangalore","South Bangalore","indiranagar",12.96647966,77.64268852,1200,3600,"NA","NA","NA","3","1","1","1","covered",1.8e+07,"ready_to_move","new","yes","yes","both","west","east","marble","semi",2013,7.857142857
34,"sell","independent_house","bangalore","South Bangalore","indiranagar",12.96280191,77.63225437,1000,3000,"NA","NA","NA","3","1","1","1","open",1.5e+07,"ready_to_move","resale","no","yes","both","east","west","vitrified_tiles","semi",2007,5
35,"sell","independent_house","bangalore","South Bangalore","indiranagar",12.97237731,77.64379143,1000,3000,"NA","NA","NA","3","1","1","1","covered",1.5e+07,"ready_to_move","resale","yes","yes","both","east","north","vitrified_tiles","semi",2013,7.857142857
36,"sell","independent_house","bangalore","South Bangalore","indiranagar",12.96310625,77.63643036,1000,1500,"NA","NA","NA","2","1","1","0","open",7500000,"ready_to_move","resale","yes","yes","both","east","east","vitrified_tiles","semi",2012,10
37,"sell","apartment","bangalore","South Bangalore","kormangala",12.92762434,77.63976223,600,534,"1","1","1","NA","NA","NA","NA","covered",4369090.909,"ready_to_move","resale","yes","yes","both","west","south","vitrified_tiles","semi",2007,7.142857143
38,"sell","apartment","bangalore","South Bangalore","kormangala",12.93998162,77.63920982,1200,1127,"2","2","1","NA","NA","NA","NA","covered",9220909.091,"ready_to_move","resale","no","yes","both","north","east","vitrified_tiles","semi",2013,1.428571429
39,"sell","apartment","bangalore","South Bangalore","kormangala",12.92716295,77.63919013,1500,1438,"3","1","2","NA","NA","NA","NA","open",11765454.55,"ready_to_move","resale","yes","yes","both","west","east","marble","semi",2008,7.142857143
40,"sell","apartment","bangalore","South Bangalore","kormangala",12.92515844,77.61253699,1200,1120,"2","2","1","NA","NA","NA","NA","covered",9163636.364,"ready_to_move","resale","yes","yes","both","east","west","vitrified_tiles","semi",2014,8.571428571
41,"sell","apartment","bangalore","South Bangalore","kormangala",12.94192721,77.63087062,1500,1445,"3","1","2","NA","NA","NA","NA","covered",11822727.27,"ready_to_move","resale","yes","yes","both","north","west","vitrified_tiles","semi",2013,7.142857143
42,"sell","apartment","bangalore","South Bangalore","kormangala",12.93114467,77.644827,600,536,"1","1","1","NA","NA","NA","NA","open",4385454.545,"ready_to_move","new","yes","yes","both","north","west","vitrified_tiles","semi",2010,0
43,"sell","independent_house","bangalore","South Bangalore","kormangala",12.9393213,77.62446554,1000,3000,"NA","NA","NA","3","1","1","1","covered",18750000,"ready_to_move","resale","no","yes","both","west","east","vitrified_tiles","semi",2009,8.571428571
44,"sell","independent_house","bangalore","South Bangalore","kormangala",12.9427878,77.61987819,1100,3300,"NA","NA","NA","3","1","1","1","open",20625000,"ready_to_move","resale","yes","yes","both","west","east","vitrified_tiles","semi",2012,8.571428571
45,"sell","independent_house","bangalore","South Bangalore","kormangala",12.92947764,77.63278127,600,600,"NA","NA","NA","1","1","0","0","covered",3750000,"ready_to_move","resale","yes","yes","both","south","north","vitrified_tiles","semi",2013,8.571428571
46,"sell","independent_house","bangalore","South Bangalore","kormangala",12.94250488,77.64068662,1200,3600,"NA","NA","NA","3","1","1","1","covered",22500000,"ready_to_move","resale","yes","yes","both","east","west","marble","semi",2009,0
47,"sell","independent_house","bangalore","South Bangalore","kormangala",12.92625309,77.63250947,1100,3300,"NA","NA","NA","3","1","1","1","open",20625000,"ready_to_move","resale","yes","yes","both","north","north","vitrified_tiles","semi",2008,8.571428571
48,"sell","independent_house","bangalore","South Bangalore","kormangala",12.94101498,77.63193465,1100,1650,"NA","NA","NA","2","1","1","0","covered",10312500,"ready_to_move","resale","yes","yes","both","west","north","vitrified_tiles","semi",2014,7.142857143
49,"sell","apartment","bangalore","East Bangalore","whitefield",12.96450812,77.72227074,1200,1125,"2","2","1","NA","NA","NA","NA","open",6136363.636,"ready_to_move","new","yes","yes","both","west","south","vitrified_tiles","semi",2008,3.571428571
